id,url,title,published_date,domain,country,severity,incident_type,description,language,source_country,collected_at,matched_query,validation_status,validation_reason,evidence_text,incident_fingerprint
1023,https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/mundo/2026/09/equador-vive-crise-eleitoral-sob-noboa-com-partidos-suspensos-e-eleicoes-regionais-antecipadas.shtml,Equador vive crise eleitoral sob Noboa com partidos suspensos e eleições regionais antecipadas,12 Sep 2026 23:00:00 -0300,www.folha.uol.com.br,BR,CRITICAL,KILLING,A Fundamedios contabilizou seis jornalistas e comunicadores assassinados em 2025 e 231 agressÃµes Ã liberdade de expressÃ£o e outros direitos relacionados.,pt,BR,2026-09-13 07:02:35,rss:www.folha.uol.com.br,validated,media subject and harm action found in returned text,A Fundamedios contabilizou seis jornalistas e comunicadores assassinados em 2025 e 231 agressÃµes Ã liberdade de expressÃ£o e outros direitos relacionados.,fundamedios contabilizou seis jornalistas e comunicadores assassinados em 2025 e 231 agress
1024,https://www.publinews.gt/tendencias/2026/09/12/gala-montes-suma-nueva-polemica-seria-demandada-por-agresion-a-la-hija-de-sergio-sendel/,Gala Montes es señalada por presunta agresión contra hija de Sergio Sendel – Publinews,20260912T220000Z,publinews.gt,Guatemala,HIGH,ATTACK,El periodista señaló que la actriz presuntamente habría agredido físicamente a la hija de Sergio Sendel Después reveló la versión sobre un supuesto altercado ocurrido durante las grabaciones de otro programa.,es,Guatemala,2026-09-13 07:02:35,gdelt:publinews.gt,validated,media subject and harm action found in returned text,El periodista señaló que la actriz presuntamente habría agredido físicamente a la hija de Sergio Sendel Después reveló la versión sobre un supuesto altercado ocurrido durante las grabaciones de otro programa.,el periodista se al que la actriz presuntamente habr agredido f sicamente
1025,https://www.thehindu.com/news/international/indonesia-passenger-vessel-with-243-people-reportedmissing-agency-says/article71462492.ece,"Indonesia says six killed, 130 missing after ferry capsizes off Java","Sun, 13 Sep 2026 17:12:27 +0530",www.thehindu.com,IN,CRITICAL,DISAPPEARANCE,"On Monday (September 7, 2026), a speedboat carrying eight people, including five journalists working for local and international news agencies, went missing near a volcano, Mount Anak Krakatau, in Banten province.",en,IN,2026-09-13 13:20:44,rss:www.thehindu.com,validated,media subject and harm action found in returned text,"On Monday (September 7, 2026), a speedboat carrying eight people, including five journalists working for local and international news agencies, went missing near a volcano, Mount Anak Krakatau, in Banten province.",monday september 7 2026 speedboat carrying eight people including five journalists working
1026,https://www.rappler.com/voices/newsletters/inside-the-newsroom-covering-martin-romualdez-hospital-arrest-sara-duterte-bail/,[Inside the Newsroom] I knew you were waiting for Martin Romualdez’s mug shot,"Sun, 13 Sep 2026 18:00:00 +0800",www.rappler.com,PH,HIGH,ATTACK,[Inside the Newsroom] I knew you were waiting for Martin Romualdez's mug shot AT A GLANCE,en,PH,2026-09-13 13:20:44,rss:www.rappler.com,validated,media subject and harm action found in returned text,[Inside the Newsroom] I knew you were waiting for Martin Romualdez's mug shot AT A GLANCE,inside newsroom i knew you waiting for martin romualdez s mug shot
1027,https://www.theguardian.com/world/2026/sep/13/indonesian-rescue-crews-searching-for-140-people-after-ferry-hit-bad-weather,"At least six dead and 130 missing after Indonesian ferry capsizes, officials say","Sun, 13 Sep 2026 12:18:49 GMT",www.theguardian.com,UK,CRITICAL,DISAPPEARANCE,"On Monday, a speedboat carrying eight people, including five journalists working for local and international news agencies, went missing near a volcano, Mount Anak Krakatau, in Lampung province.",en,UK,2026-09-13 13:20:44,rss:www.theguardian.com,validated,media subject and harm action found in returned text,"On Monday, a speedboat carrying eight people, including five journalists working for local and international news agencies, went missing near a volcano, Mount Anak Krakatau, in Lampung province.",monday speedboat carrying eight people including five journalists working for local international
1028,https://www.gercekgundem.com/gundem/kasif-kozinoglu-sorusturmasinda-yeni-gelisme-9-supheli-adliyeye-sevk-edildi-578534,Kaşif Kozinoğlu Soruşturmasında Yeni Gelişme ! 9 Şüpheli Adliyeye Sevk Edildi,20260912T150000Z,gercekgundem.com,Turkey,HIGH,DETENTION,"9 ŞÜPHELİ DAHA GÖZALTINA ALINDI Soruşturmanın devam eden aşamasında 1 muhabir, 1 kameraman ve 7 sağlık çalışanı olmak üzere 9 kişi daha gözaltına alındı.",tr,Turkey,2026-09-13 13:20:44,gdelt:gercekgundem.com,validated,media subject and harm action found in returned text,"9 ŞÜPHELİ DAHA GÖZALTINA ALINDI Soruşturmanın devam eden aşamasında 1 muhabir, 1 kameraman ve 7 sağlık çalışanı olmak üzere 9 kişi daha gözaltına alındı.",9 pheli daha g zaltina alindi soru turman n devam eden amas
1029,https://www.samanyoluhaber.com/kozinoglu-sorusturmasi-gazeteci-selahattin-gunday-ve-2-saglik-gorevlisi-tutuklandi/1492597,Kozinoğlu soruşturması : Gazeteci Selahattin Günday ve 2 sağlık görevlisi tutuklandı,20260913T090000Z,samanyoluhaber.com,Turkey,HIGH,DETENTION,Kozinoğlu soruşturması : Gazeteci Selahattin Günday ve 2 sağlık görevlisi tutuklandı Kozinoğlu soruşturması: Gazeteci Selahattin Günday ve 2 sağlık görevlisi tutuklandı Ergenekon soruşturması kapsamında tutuklu bulunduğu sırada Silivri'deki cezaevinde yaşamını yitiren eski MİT görevlisi Kaşif Kozinoğlu'nun ölümüne ilişkin soruşturma sürüyor.,tr,Turkey,2026-09-13 13:20:44,gdelt:samanyoluhaber.com,validated,media subject and harm action found in returned text,Kozinoğlu soruşturması : Gazeteci Selahattin Günday ve 2 sağlık görevlisi tutuklandı Kozinoğlu soruşturması: Gazeteci Selahattin Günday ve 2 sağlık görevlisi tutuklandı Ergenekon soruşturması kapsamında tutuklu bulunduğu sırada Silivri'deki cezaevinde yaşamını yitiren eski MİT görevlisi Kaşif Kozinoğlu'nun ölümüne ilişkin soruşturma sürüyor.,kozino lu soru turmas gazeteci selahattin g nday ve 2 sa l
1032,https://syrianobserver.com/foreign-actors/after-eight-months-of-torture-in-transitional-government-prisons-journalist-ahmed-polat-transferred-to-turkiye.html,"After Eight Months of Torture in Transitional Government Prisons, Journalist Ahmed Polat Transferred to Türkiye","Sun, 13 Sep 2026 21:00:44 +0000",syrianobserver.com,SY,HIGH,DETENTION,"He was arrested alongside German journalist Maria Michelmann, born in 1989, who has worked as a correspondent in Rojava and in northern and eastern Syria since 2022.",en,SY,2026-09-13 22:06:19,rss:syrianobserver.com,validated,media subject and harm action found in returned text,"He was arrested alongside German journalist Maria Michelmann, born in 1989, who has worked as a correspondent in Rojava and in northern and eastern Syria since 2022.",arrested alongside german journalist maria michelmann born 1989 who has worked as
1033,https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/ilustrada/2026/09/bienal-do-livro-com-muvuca-e-mascarados-faz-lambanca-do-sucesso.shtml,"Bienal do Livro, com muvuca e mascarados, faz lambança do sucesso",13 Sep 2026 18:21:00 -0300,www.folha.uol.com.br,BR,MEDIUM,CENSORSHIP,"No episÃ³dio mais barulhento da Bienal do Livro 2026, homens fantasiados de personagens macabros sensualizaram com garotas jovens no estande da editora Fruto Proibido, de literatura erÃ³tica.",pt,BR,2026-09-13 22:06:19,rss:www.folha.uol.com.br,validated,media subject and harm action found in returned text,"No episÃ³dio mais barulhento da Bienal do Livro 2026, homens fantasiados de personagens macabros sensualizaram com garotas jovens no estande da editora Fruto Proibido, de literatura erÃ³tica.",no epis dio mais barulhento da bienal do livro 2026 homens fantasiados
1034,https://www.haberekspres.com.tr/kasif-kozinoglu-sorusturmasinda-gazeteci-gunday-tutuklandi,Kaşif Kozinoğlu soruşturmasında gazeteci Günday ve 2 acil tıp teknisyeni tutuklandı,20260913T073000Z,haberekspres.com.tr,Turkey,HIGH,DETENTION,Kaşif Kozinoğlu soruşturmasında gazeteci Günday ve 2 acil tıp teknisyeni tutuklandı Kaşif Kozinoğlu soruşturmasında gazeteci Günday ve 2 acil tıp teknisyeni tutuklandı,tr,Turkey,2026-09-13 22:06:19,gdelt:haberekspres.com.tr,validated,media subject and harm action found in returned text,Kaşif Kozinoğlu soruşturmasında gazeteci Günday ve 2 acil tıp teknisyeni tutuklandı Kaşif Kozinoğlu soruşturmasında gazeteci Günday ve 2 acil tıp teknisyeni tutuklandı,ka if kozino lu soru turmas nda gazeteci g nday ve 2
